what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1466395317586
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1466395439707
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1466395439745
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1466395439764
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1466395439958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466395440109
executed,command,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1466395440121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466395440428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466395452070
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110815-1438,"org.eclipse.equinox.frameworkadmin.equinox",1466395452126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466395464506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466395469565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466395469637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466395471467
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466395471871
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1466395472609
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1466395473199
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1466395473200
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1466395473201
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1466395473201
