what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620127838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620128125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620128857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620129299
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1465620129313
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465620216116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465620231334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1465620233034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620237674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620237682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620237818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620238092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620239021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620239447
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1465620239457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620257221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620290651
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465620293207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620299917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620319473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465620328258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1465620329308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620335783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620335789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620335871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620336145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620336953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620337479
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1465620337490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620396948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620410289
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465620417289
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1465620439477
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465620448112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620460661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620465739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1465620478616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620479581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620522825
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1465620525267
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465620527129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620530119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620539027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620544811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620544822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620544903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620545150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620545901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620546375
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1465620546388
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465620567009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620576638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620576646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620576758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465620577061
