what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467081603251
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467081603313
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1467081614247
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1467081614294
started,bundle,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse",1467081614372
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1467081614746
executed,command,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.shortcut.run",1467081616820
opened,view,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.ResultView",1467081618255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467081621829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467081621829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467081623139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467081646052
activated,view,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.ResultView",1467081646069
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467081647886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.activateEditor",1467081659240
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467081683712
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467081687518
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467081687581
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1467081703755
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1467081703911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467081827228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467082548880
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467082567686
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467082567904
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467082567982
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467082574352
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467082574589
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467082574651
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467082576258
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467082576476
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467082576570
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467082589093
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467082589327
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467082589389
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467082590671
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467082590874
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467082598400
opened,editor,,,"org.eclipse.ui.systemInPlaceEditor",1467082618541
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1467082618573
opened,editor,,,"org.eclipse.ui.systemInPlaceEditor",1467082634905
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1467082634952
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467082643742
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1467082645788
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467082645819
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1467082649490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467082677095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467082678807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467082679706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467082696506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467082700986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467082801928
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467082802068
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467082805815
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467082880683
opened,editor,,,"org.eclipse.ui.systemInPlaceEditor",1467082894408
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1467082894410
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1467082904261
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467082908928
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467082916564
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467082916814
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467082918046
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467082918265
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467082918343
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467083016774
opened,editor,,,"org.eclipse.ui.systemInPlaceEditor",1467083017071
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1467083017102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467083026282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467083074402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467083076602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467084130559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467084160447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467084588053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467086341704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467086361064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467086467623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467086497094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1467086497110
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467086499574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467086507671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467086511727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467086514598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467086530762
