what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616369359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616400462
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1465616422442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465616426933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465616428718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1465616431793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465616432979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1465616456207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1465616463077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616471359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616471471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465616483757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1465616486240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616487847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616491069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465616494729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616500820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616523158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1465616540262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465616542451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616547833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616547942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616557602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616557697
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1465616567363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1465616572120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616581947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616589024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465616633702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616635333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616635718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465616674883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465616722930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465616743163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616747313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616782571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465616792041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465616818588
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465616821315
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465616827951
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1465616882305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1465616892694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465616913161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616922794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616922802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616922883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616923108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616923825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616924439
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1465616924451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616942305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616968737
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465616970906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465616973033
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465616985272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465616988772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465616991885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465616995847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617071900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465617077225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465617079400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465617100117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617105474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617113963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617117780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617119044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465617122358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617129261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617132893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617145565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617150796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465617173292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465617176333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617180597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617196518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465617209570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465617213778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617216104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617306813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465617334034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617346943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617352961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465617357450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1465617362066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465617364256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617369472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617369480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617369559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617369779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617370433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617371026
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1465617371036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617408058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617408139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617409377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617410073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617411033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617413471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617416761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617428290
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465617432212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465617435884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617439529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617439634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617445900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617445905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617445978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617446257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617446887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617447377
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1465617447391
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465617481051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465617491255
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1465617492971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617499645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617499654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617499762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617500032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617501490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465617502241
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1465617502254
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465617538994
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1465617539454
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465617555670
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1465617572202
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465617578728
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1465617592924
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465617602646
