what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1466392077886
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1466392077933
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1466392077964
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1466392078011
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1466392078011
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1466392078011
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1466392078011
os,sysinfo,,,"win32",1466392078011
arch,sysinfo,,,"x86_64",1466392078011
ws,sysinfo,,,"win32",1466392078011
locale,sysinfo,,,"en_US",1466392078011
processors,sysinfo,,,"2",1466392078011
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1466392078011
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1466392078011
java.specification.name,sysinfo,,,"Java Platform API Specification",1466392078011
java.specification.vendor,sysinfo,,,"Oracle Corporation",1466392078011
java.specification.version,sysinfo,,,"1.7",1466392078011
java.vendor,sysinfo,,,"Oracle Corporation",1466392078011
java.version,sysinfo,,,"1.7.0_79",1466392078011
java.vm.info,sysinfo,,,"mixed mode",1466392078011
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1466392078011
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1466392078011
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1466392078011
java.vm.specification.version,sysinfo,,,"1.7",1466392078011
java.vm.vendor,sysinfo,,,"Oracle Corporation",1466392078011
java.vm.version,sysinfo,,,"24.79-b02",1466392078011
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466392078058
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1466392078089
