what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996394071
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996394152
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466996397204
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996397428
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466996398830
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996399058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1466996411066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1466996420813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1466996434597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996478805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996479029
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996483386
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996490107
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996491458
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996493288
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996506428
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996516659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1466996558261
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1466996559663
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1466996561172
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1466996561230
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1466996561901
executed,command,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.shortcut.run",1466996563006
opened,view,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.ResultView",1466996564917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996569140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996569157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996570700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996592536
activated,view,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.ResultView",1466996592565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996599552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996603063
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996605978
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996606028
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996610341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996626271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996627330
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996628458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996630039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996630901
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996631847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996643576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996644432
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996646447
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996651696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996685932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996686947
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996700886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996708299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996709152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996709580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996727832
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996731423
executed,command,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.shortcut.run",1466996735672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996738998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996739008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996740317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996770099
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996771929
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996780766
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996783150
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996786151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996786988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996796118
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996800424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996810688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996811609
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1466996815562
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1466996815582
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1466996816196
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1466996816208
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1466996816321
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1466996816328
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1466996816359
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1466996816372
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1466996816374
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1466996816449
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1466996816455
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996879020
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996927743
activated,view,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.ResultView",1466996931145
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1466996934006
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1466996960573
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1466996960686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996960706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466996962511
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1466996971459
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996971659
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466996992159
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1466996999384
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466997006149
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466997007333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466997113452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466997129064
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466997136153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1466997156109
executed,command,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.shortcut.run",1466997159642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466997162844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466997162850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466997164149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466997218564
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466997222745
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466997227238
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466997234712
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466997234769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1466997286101
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1466997290156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466997293471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466997293477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466997294791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466997320660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466997324818
activated,view,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.ResultView",1466997338673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466997348484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466999079554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467002662117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467002662304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467002663646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467002665097
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467002665159
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467002665424
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1467002666079
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1467002666111
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1467002666126
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1467002666126
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1467002666142
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1467002666173
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1467002666204
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1467081313665
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1467081313665
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1467081313665
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1467081313696
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1467081313712
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1467081313712
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1467081313759
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1467081313759
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1467081313759
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1467081313774
